"region","kön","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"20 Dalarnas län","män",1377,1317,1368,1448,1382,1457,1430,1499,1379,1499,1551,1580,1573,1531,1467
"20 Dalarnas län","kvinnor",1329,1275,1346,1327,1354,1389,1384,1320,1336,1410,1388,1483,1491,1504,1476
