"region","kön","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"20 Dalarnas län","män",1664,1556,1567,1528,1566,1471,1485,1603,1549,1464,1582,1521,1525,1550,1528
"20 Dalarnas län","kvinnor",1673,1674,1665,1647,1683,1694,1600,1723,1597,1584,1591,1630,1566,1568,1502
